我的账户	101000
网上银行如何在我的账户中查看他行授权管理	您好，在我的账户中查看他行授权管理，请您登录进入网上银行个人主页，选择进入账号管理，我的账户，在我的本行账户模块中，点击他行授权管理，系统会跳转到他行授权管理页，默认选中此账号。
网上银行如何在我的账户中查看亲情账号授权管理	您好，在我的账户中查看亲情账号授权管理，请您登录进入网上银行个人主页，选择进入账号管理，我的账户，我的本行账号下，点击亲情账号授权管理，进入亲情账户授权管理页。
如何接受他人亲情账号申请	您好，接受他人亲情账号申请，请您登录进入网上银行个人主页，选择进入账号管理，在我的本行账号下，点击亲情账号授权管理，进入亲情账户授权管理页，在亲情授权管理页，点击同意，进入亲情账号申请接受页。
如何拒绝他人亲情账号申请	您好，拒绝他人亲情账号申请，请您登录进入网上银行个人主页，选择进入账号管理，在我的本行账号下，点击亲情账号授权管理，进入亲情账户授权管理页，在亲情授权管理页，点击拒绝，亲情账号拒绝成功。
如何进行亲情账号添加	您好，进行亲情账号添加，请您登录进入网上银行个人主页，选择进入账号管理，在我的亲情账户模块，点击添加亲情账户，则系统会跳转到亲情账户添加页，进行账号添加。
亲情账号可以修改别名么	您好，网上银行亲情账号可以进行设置别名，修改别名。请您登录进入网上银行个人主页，选择进入账号管理，在我的亲情账户模块，进行设置或修改。
他行账户如何添加查询账号	您好，添加他行账户查询账户，请您登录进入网上银行个人主页，选择进入账号管理，在我的他行账户下，点击添加查询账号，系统弹出添加查询账号的页面，选择查询账号，被查询行点击提交签约，系统发送到他行进行签约。
他行账户中如何添加扣款账号	您好，添加他行账户扣款账号，请您登录进入网上银行个人主页，选择进入账号管理，在我的他行账户下，点击添加扣款账号，系统弹出添加扣款账号的页面，选择收款账号，扣款行点击提交签约，系统发送到他行进行签约。
他行账户查询账号如何解除	您好，解除他行查询账号，请您登录进入网上银行个人主页，选择进入账号管理，在我的他行账户下，点击协议查询，跳转到协议详情页，在协议详情页，点击解约查询,弹出解约查询确认页,点击确认解约，解约成功或等待其他银行授权的页面。
他行账户扣款账号如何解除	您好，解除他行扣款账号，请您登录进入网上银行个人主页，选择进入账号管理，在我的他行账户下，点击协议查询，跳转到协议详情页，在协议详情页，点击解约扣款,弹出解约扣款确认页,点击确认解约，解约成功或等待其他银行授权的页面。
我的账户的挂失是什么类型的挂失	您好，网银中的账户挂失为口头挂失，请用户尽快到柜面办理正式挂失。
授权亲情账号，他人可以进行哪些操作	您好，亲情账号一旦授权给其他人，其他人可以操作亲情账号进行转账，缴费，存定期，买理财等所有付款操作。
网上银行账户明细查询一次最长的查询周期是多久	您好，网上银行账户明细查询日期默认近一个周，查询结果按最近交易时间倒序排列，一次只能查询三个月.
网上银行如何在我的存款账户中进行转账	您好，在我的存款账户中进行转账，请您登录进入网上银行个人主页，进入账户详情，在我的存款账户下，点击转账，系统会跳转到行内/跨行转账录入页，默认选中此付款账号。
网上银行如何在我的存款账户中存定期	您好，在我的存款账户中存定期，请您登录进入网上银行个人主页，进入账户详情，在我的存款账户下，点击存定期，系统会跳转到整存整取定期存款开立录入页。
网上银行如何在我的存款账户中预约支取	您好，在我的存款账户中预约支取，请您登录进入网上银行个人主页，进入账户详情，在我的存款账户下，点击预约支取，系统会跳转到通知存款预约支取录入页。
网上银行如何在我的存款账户中进行续存	您好，在我的存款账户中进行续存，请您登录进入网上银行个人主页，进入账户详情，在我的存款账户下，点击续存，系统会跳转到零存整取定期存款续存录入页。
网上银行如何在我的存款账户中支取定期	您好，在我的存款账户中支取定期，请您登录进入网上银行个人主页，进入账户详情，在我的存款账户下，点击支取定期，系统会跳转到对应选中的定期存款支取录入页。
网上银行他行账户中如何实时收款	您好，在网上银行他行账户中实时收款，请您登录进入网上银行个人主页，进入账户详情，在我的他行账户下，点击实时收款，系统会跳转到实时收款页。
网上银行他行账户中如何自动收款	您好，在网上银行他行账户中自动收款，请您登录进入网上银行个人主页，进入账户详情，在我的他行账户下，点击自动收款，系统会跳转到自动收款页。
网上银行电子回单统一打印的用途	您好，用户从网上银行办理的转出业务，用户的来账，还有系统自动处理的业务都可以通过网上银行打印回单。
什么是网上银行当日回单打印	您好，当日回单打印指打印客户当时的交易回单。
什么是网上银行历史回单打印	您好，用户可从网上银行发起回单的打印，可以打印用户从网上银行发起的，或者其他渠道发起的，或者他行的来账等业务回单。
网上银行当日回单如何打印	您好，打印网上银行当日回单，请您登录进入网上银行，选择账号管理，在账号管理页面选择电子回单打印，选择当日回单，进行打印。
网上银行历史回单如何打印	您好，打印网上银行历史回单，请您登录进入网上银行，选择账号管理，在账号管理页面选择电子回单打印，选择历史回单，进行打印。
网上银行历史回单打印可以修改时间么	您好，历史打印默认的交易区间是近一个周。可手工修改交易区间。交易区间查询跨度一次不能超过三个月。
网上银行历史回单打印可打印的最长交易区间是多少	您好，历史打印默认的交易区间是近一个周。可手工修改交易区间。交易区间查询跨度一次不能超过三个月。
网上银行如何查询常见问题	您好，查询网上银行常见问题，通过顶部导航首页的帮助，进入帮助点击常见问题，选择您想要查询的问题进行查询。
如何升级大众版手机银行	您好，您可以使用专业版网银，升级大众版的手机银行。
网上银行如何签约手机银行	您好，签约手机银行首先请您先登录网上银行，进到签约模块查看手机银行的签约情况，点击签约可以进入签约流程。
网上银行如何解约手机银行	您好，解约手机银行首先请您先登录网上银行，进到签约模块查看手机银行的签约情况，点击解约进入到解约流程。
签约手机银行时需要验证哪些信息	您好，网上银行签约手机银行时需要验证网银预留手机号的有效性和用户认证方式。
签约手机银行的认证方式	您好，网上银行签约手机银行的认证方式：一代U-key：U-key+PIN码，二代U-key：U-key+PIN码，令牌：令牌挑战码+开机密码。
签约手机银行完成后的注意事项	您好，网上银行签约手机银行成功后，手机银行的下挂账号信息，预留信息，包括登录密码等与网上银行保持一致。
解约手机银行的业务规则	您好，网上银行解约手机银行的业务规则：1.只有签约手机银行的用户才可以做解约操作。2.解约时，不需要验证认证方式。
网上银行注册用户类别都有哪几种	您好，网上银行注册用户类别有：1.非手机银行，非网上银行用户2.手机银行，非网上银行用户3.手机银行，网上银行用户
什么是网上银行免注册登录	您好，网上银行免注册登录指不需要注册我行网上银行，直接使用我行账号和交易密码登录网上银行。
网上银行的登录方式是什么	您好，网上银行登录方式为：1.非手机银行，非网银用户，使用免注册登录方式；使用我行账号和交易密码登录后，设置网银登录密码，进入个人网银主页或登录前页面；2.手机银行，非网银用户，使用网银用户登录方式，直接使用手机号和手机银行登录密码，验证通过后，进入到个人网银主页或登录前页面。3.手机银行，网银用户，使用网银用户登录方式登录，成功后进入到个人网银主页或登录前页面。
网上银行第一次登录后需要完善信息么	您好，网上银行首次登录需要您完善自己的信息。1.：网银用户或手机银行用户，第一次登录需要设置：登录密码和防伪信息。2.非手机银行＋非网上银行用户使用账号和交易密码登录后，需要完善登录密码和防伪信息等。
网上银行登录时什么时候会出现验证码	您好，登录网上银行时，如果您第一次输入用户和密码正确，则不需要验证码；如果您第一次用户或登录密码输入错误，则需要输入图形验证码。
登录使用网上银行的注意事项	您好，您在使用网上银行时请注意：1.请您尽量不要公共场所或网吧使用网上银行。2.离开网上银行时，请您及时点击退出按钮，以防信息被别人误用。
没有开通网银可以登录网上银行么	您好，未开通网银的用户是可以登录网上银行的。1.如果您未开通网上银行但是开通手机银行，可以使用手机号和手机银行密码登录网银;2.如果您网上银行跟手机银行都没有开通，可以通过银行卡账号通过免注册方式登录网银。
大众版网银和专业版网银的功能是一样的么	您好，大众版网银提供查询，缴费，同名转账等功能；专业版网银提供转账汇款、签约等功能；
如何注销个人网上银行	您好，通过网上银行的设置模块，可以暂停网银；如果要永久关闭网银服务，请到柜面办理解约服务。
网上银行登录忘记密码怎么办	您好，如果忘记网上银行登录密码，点击登录框上的“忘记密码”按钮，进入到登录密码重置流程。验证账号、交易密码、身份证号等，认证通过后，设置新密码，重新登录。
如何挂失令牌	您好，登录网上银行，从令牌管理列表页，选择令牌进行令牌挂失，进入令牌挂失流程。
网上银行如何修改令牌限额	您好，登录网上银行，从认证工具管理列表页，选择令牌进行限额修改，进入限额修改页。
网上银行如何停用令牌	您好，登录网上银行，从认证工具管理列表页，选择令牌进行关闭，进入令牌关闭页。
网上银行如何启用令牌	您好，登录网上银行，从认证工具管理列表页，选择令牌进行开启，进入令牌开启页。
网上银行如何同步令牌	您好，登录网上银行，从令牌管理列表页，选择令牌进行令牌同步，进入令牌同步页。
跨行转账的收费标准	您好，目前济宁银行网上银行跨行转账免费。
网上银行如何查看普通转账	您好，网上银行查看普通转账请登录网上银行，进入用户界面，点击“转账”，进行查看。
怎么进入转账汇款首页	您好，进入转账汇款首页从转账首页中点击行内/跨行转账链接，系统跳转到行内/跨行转账首页。
怎么样发起行内或者跨行转账	您好，发起行内/跨行转账需要以下几点：1.在转账首页中点击转账汇款链接跳转到转账汇款首页。2.选择行内/跨行转账，跳转到行内/跨行转账录入页。
怎么在转账汇款首页发起批量转账	您好，在转账汇款首页发起批量转账需要以下几点：1.在转账首页中点击批量转账链接跳转到批量转账首页。2.选择批量转账，点击下方的发起转账按钮进入批量转账转账录入页。
怎么在转账汇款首页进行资金归集	您好，在转账汇款首页进行资金归集需要以下几点：1.您从转账首页中点击资金归集链接跳转到资金归集首页。2.如果您还未签约，选择资金归集，点击立即签约按钮进入资金归集签约页面。
怎样查看转账首页常用收款人	您好，查看转账首页常用收款人请您先从转账首页中点击行内/跨行转账链接跳转到行内/跨行转账首页，登录网上银行，点击“常用收款人”按钮则跳转到常用收款人列表页。
怎样查看转账首页全部收款人	您好，查看转账首页全部收款人请您先从转账首页中点击行内/跨行转账链接跳转到转账汇款首页，首页默认展开常用收款人列表；也可以点击右上方常用联系人查看全部联系人信息。
转账首页里怎么进行单独转账	您好，在转账首页进行单独转账首先请您先从转账首页中点击行内/跨行转账链接跳转到行内/跨行转账首页；同时，您也可以在行内/跨行转账首页中选择收款人后直接转账。
转账首页里如何进行取消免签	您好，进入取消免签请您先从转账首页中点击转账汇款链接跳转到行内/跨行转账首页，在收款人列表中，选择您想要取消免签的收款人取消免签服务。
怎么样跳转到收款人管理页面	您好，跳转到收款人管理页面首先需要您从转账首页中点击行内/跨行转账链接跳转到行内/跨行转账首页，点击首页中的“常用联系人”按钮，跳转到收款人管理页面。
常用转账收款人为什么不展示	您好，常用转账收款人不展示可能是因为您没有登录个人网上银行，您可以登录网上银行查看您的常用联系人信息。
实时收款有什么好处	您好，实时收款的好处在于它实现了在网银上从已经签支付协议的他行账号和已经签约的亲情账号之间发起实时收款的动作。
如何进行实时收款	您好，如果您想进行实时收款首先请您登录网上银行，然后根据以下步骤完成实时收款：1.点击右侧导航栏“资金归集”按钮，默认展开实时归集的标签。2.点击导航栏展开的“实时收款”按钮进入实时收款页面。3.点击“收款”按钮跳转他行转入交易页面。4.根据提示填写收款信息，点击下一步进入确认收款信息页面。5.确认信息填写正确，点击“确定提交”按钮完成收款。
收款交易失败怎么办	您好，如果您的收款交易失败，请您先登录网上银行   按照以下步骤进行：1.点击右侧导航栏“资金归集”按钮，默认展开实时归集的标签。2.点击导航栏展开的“实时收款”按钮进入实时收款页面。3.点击页面中间的“收款”按钮，跳转实时收款录入页面。4.在实时收款录入页面，点击“重选扣款账号”，可展开重选付款账号的列表。5.如果您的账户存在异常，请到我行网点办理相关业务。
扣款周期是怎样划分的	您好，扣款周期划分为每天、每周、每月和其他。选择周时，需选择周一至周日的任意一天；选择月时，需选择指定的一天；选择其他时，频率可手工输入，单位为天；如果选择8，则每8天执行一次。
收款明细查询的作用是什么	您好，收款明细查询的作用是实现了查看实时和自动收款执行的明细的功能。
怎么查询实时收款明细	您好，查询实时收款明细首先请您登录网上银行，按照以下步骤完成查询：1.点击右侧导航栏“资金归集”按钮，默认展开实时归集的标签。2.点击导航栏展开的“收款明细查询”按钮，默认跳转到实时收款明细查询页3.按照查询条件输入收款账号、付款账号和选择扣款日期，点击下方的“查询”按钮，下面显示查询结果。
转账交易查询的功能是什么	您好，转账交易查询提供了查询转账记录的功能，包括单笔转账记录和批量转账记录。
怎么查看单笔转账详情	您好，查看单笔转账详情请您先登录网上银行，按照以下步骤完成查看：1.点击左侧导航栏“转账交易查询”按钮，进入转账交易查询主页面。2.系统默认选中单笔交易查询页面，输入查询条件点击下方“查询”按钮，系统显示单笔交易查询结果。3.选择您想查看的单笔交易查询结果下点击“详情”按钮，跳转到转账交易结果详情页。
怎么查看批量转账详情	您好，查看批量转账详情请您先登录网上银行，然后按照以下步骤完成查看：1.点击左侧导航栏“转账交易查询”按钮，进入转账交易查询主页面。2.点击“批量转账查询”按钮，系统跳转到批量转账交易页面。3.批量交易查询页面下输入查询条件，点击下方的“查询”按钮，系统显示批量交易查询结果。4.选择您想要查看的批量交易查询结果下点击“详情”按钮，跳转到批量转账交易结果详情页。
单笔转账查询方式是什么	您好，单笔转账查询默认查询方式为付款账号和交易区间。您可切换至高级查询，高级查询支持按付款账号，收款方户名，交易金额区间，交易状态和起止查询区间，起止查询区间，提供一个月，三个月，半年的选项，也可手工选择起始时间。
批量转账查询方式是什么	您好，批量转账查询支持您按交易金额区间和起止日期查询区间。起止查询区间，提供一个月，三个月，半年的选项，也可手工选择起始时间。
最多可以查询多久之前的转账交易	您好，在您没有清理网银数据的情况下最长也可查询1年内的转账交易记录。
怎么导出查询结果	您好，如果您需要导出查询结果请您先登录网上银行，按照以下步骤完成导出：1.点击左侧导航栏“转账交易查询”按钮，进入转账交易查询主页面。2.系统默认选中单笔交易查询页面，输入查询条件点击下方“查询”按钮，系统显示单笔交易查询结果。3.点击右侧“导出单笔转账列表”按钮，导出您想要查询的单笔转账列表。
怎么进行汇总打印	您好，汇总打印首先请您先登录网上银行，按照以下步骤完成打印：1.点击左侧导航栏“转账交易查询”按钮，进入转账交易查询主页面。2.点击“批量转账查询”按钮，系统跳转到批量转账交易页面。3.批量交易查询页面下输入查询条件，点击下方的“查询”按钮，系统显示批量交易查询结果。4.点击“汇总打印”按钮，进行汇总打印。
怎么进行明细打印	您好，明细打印首先请您先登录网上银行，按照以下步骤完成打印：1.点击左侧导航栏“转账交易查询”按钮，进入转账交易查询主页面。2.点击“批量转账查询”按钮，系统跳转到批量转账交易页面。3.批量交易查询页面下输入查询条件，点击下方的“查询”按钮，系统显示批量交易查询结果。4.点击“明细打印”按钮，进行明细打印。
汇总打印与明细打印有什么区别	您好，汇总打印与明细打印的区别是汇总打印只打印页面上方的汇总信息。明细打印只打印页面下方的明细信息，如果有分页也全部打印不分页打印。
预约转账管理有什么好处	您好，预约转账管理的好处在于提供了查询之前设置的预约转账指令，对指令详情，指令执行明细进行查询，也可对未执行完毕的的指令进行撤销的操作，还可以直接发起转账。
怎么查询单笔转账预约	您好，查询单笔转账预约请您先登录网上银行，按照以下步骤完成查询：1.点击左侧导航栏“预约转账管理”按钮进入预约转账管理页。2.点击“单笔预约转账查询”按钮进入单笔预约转账查询页面。3.输入预约查询条件，点击下方的“查询”按钮进行查看。
怎么样查看单笔预约详情	您好，查看单笔预约详情请您先登录网上银行。1.点击左侧导航栏“预约转账管理”按钮进入预约转账管理页。2.点击“单笔预约转账查询”按钮进入单笔预约转账查询页面。3.输入预约查询条件，点击下方的“查询”按钮进行查看。4.查询结果中点击您想查看的单笔预约“详情”按钮进入预约转账详情页。
怎么样打印单笔预约详情	您好，打印单笔预约详情请您先登录网上银行，按照以下步骤完成打印：1.点击左侧导航栏“预约转账管理”按钮进入预约转账管理页。2.点击“单笔预约转账查询”按钮进入单笔预约转账查询页面。3.输入预约查询条件，点击下方的“查询”按钮进行查看。4.查询结果中点击您想打印的单笔预约“详情”按钮进入预约转账详情页。5.点击页面下方的“打印列表”按钮进行打印。
如何导出单笔预约详情	您好，导出单笔预约详情请您先登录网上银行，按照以下步骤完成导出：1.点击左侧导航栏“预约转账管理”按钮进入预约转账管理页。2.点击“单笔预约转账查询”按钮进入单笔预约转账查询页面。3.输入预约查询条件，点击下方的“查询”按钮进行查看。4.查询结果中点击您想导出的单笔预约“详情”按钮进入预约转账详情页。5.点击页面下方的“导出列表”按钮进行导出。
怎样对单次预约指令进行撤销	您好，撤销预约指令首先请您先登录网上银行，按照以下步骤完成撤销：1.点击左侧导航栏“预约转账管理”按钮进入预约转账管理页。2.点击“单笔预约转账查询”按钮进入单笔预约转账查询页面。3.输入预约查询条件，点击下方的“查询”按钮进入预约转账详情页。4.查询结果中选择您想要撤退的预约指令点击撤销，弹出撤销确认页，提示是否撤销，点击撤销后，即对此操作完成撤销。
如何查看周期预约详情	您好，查看周期预约详情请您登录网上银行，按照以下步骤完成查看：1.点击左侧导航栏“预约转账管理”按钮进入预约转账管理页。2.点击“单笔预约转账查询”按钮进入单笔预约转账查询页面。3.输入预约查询条件，在预约条件下选择“指定周期”点击下方的“查询”按钮进行查看。4.查询结果中点击您想查看的单笔预约“详情”按钮进入预约转账详情页。
如何对单次预约发起转账	您好，对单次预约发起转账请您先登录网上银行，按照以下步骤完成转账：1.点击左侧导航栏“预约转账管理”按钮进入预约转账管理页。2.点击“单笔预约转账查询”按钮进入单笔预约转账查询页面。3.输入预约查询条件，点击下方的“查询”按钮进入预约转账详情页。4.查询结果中选择您想要发起的单次预约指令点击“转账”按钮，跳转转账确认页面，点击“确认”按钮完成单次预约转账。
如何对周期预约发起转账	您好，对周期预约发起转账需要您登录网上银行，按照以下步骤完成转账：1.点击左侧导航栏“预约转账管理”按钮进入预约转账管理页。2.点击“单笔预约转账查询”按钮进入单笔预约转账查询页面。3.输入预约查询条件，在预约条件下选择“指定周期”点击下方的“查询”按钮进行查看。4.查询结果中选择您想要发起的周期预约指令点击“转账”按钮，跳转转账确认页面，点击“确定”按钮完成周期预约转账。
单次预约转账和周期预约转账有什么区别	您好，单次预约转账和周期预约转账的区别是如果是单次预约，点击转账，将自动撤销该次预约。如果是周期预约，点击转账，将会撤销下一个执行周期的预约，并明确给出下次预约的执行时间。
怎样进行批量预约查询	您好，进行批量预约查询请您先登录网上银行，按照以下步骤完成查询：1.点击左侧导航栏“预约转账管理”按钮进入预约转账管理页。2.点击“批量预约转账查询”按钮进入批量预约转账查询页面。3.输入预约查询条件，点击下方的“查询”按钮进行查看。
怎样查看批量预约详情	您好，查看批量预约详情请您先登录网上银行，按照以下步骤完成查看：1.点击左侧导航栏“预约转账管理”按钮进入预约转账管理页。2.点击“批量预约转账查询”按钮进入批量预约转账查询页面。3.输入预约查询条件，点击下方的“查询”按钮进行查看。4.查询结果中点击您想查看的批量预约“详情”按钮进入预约转账详情页。
如何撤销批量预约	您好，撤销批量预约请您先登录网上银行，按照以下步骤完成撤销：1.点击左侧导航栏“预约转账管理”按钮进入预约转账管理页。2.点击“批量预约转账查询”按钮进入批量预约转账查询页面。3.输入预约查询条件，点击下方的“查询”按钮进行查看。4.选择您想要撤销的批量预约点击后面的“撤销”按钮，弹出撤销确认页，提示是否撤销，确认后完成撤销。
常用收款人有什么功能	您好，常用收款人的功能是实现了查询，新增，删除，修改常用收款人, 以及导出收款人列表的功能，以及从此页面发起单笔和批量转账的功能。
查询收款人的查询条件是什么	您好，查询收款人的查询条件包括收款人账号，手机号，户名，收款行。
如何查询收款人	您好，查看收款人首先请您登录网上银行，点击左侧导航栏的“行内/跨行转账”右上角的“常用收款人”按钮跳转到查询收款人页面，输入您想查询的收款人条件，点击“查询”按钮进行查询。
如何查看全部收款人	您好，查看全部收款人请您先登录网上银行，按照以下步骤完成查看：1.点击左侧导航栏的“行内/跨行转账”点击右上角“常用收款人”按钮跳转到查询收款人页面。2.在查询条件中未输入查询条件默认显示您所有的收款人信息。
如何查看行内/跨行转账常用收款人	您好，查看行内/跨行转账常用收款人请您登录网上银行，点击左侧导航栏“行内/跨行转账常用收款人”按钮跳转到查询收款人页面，页面下面默认打开常用收款人列表。
如何导出行内/跨行转账收款人	您好，导出行内/跨行转账收款人请您先登录网上银行，按照以下步骤完成导出：1.点击左侧导航栏“行内/跨行转账常用收款人”按钮跳转到查询收款人页面。2.点击页面中间的“导出收款人”按钮进行导出收款人数据。
如何修改行内/跨行转账收款人	您好，修改行内/跨行转账收款人请您先登录网上银行，按照以下步骤完成修改：1.点击左侧导航栏的“行内/跨行转账常用收款人”按钮跳转到查询收款人页面。2.在查询条件中未输入查询条件默认显示您所有的收款人信息。3.选择您想要修改的收款人，点击“修改”按钮跳转到收款人修改页面。
如何删除行内/跨行转账收款人	您好，删除行内/跨行转账收款人请您先登录网上银行，按照以下步骤完成删除：1.点击左侧导航栏的“行内/跨行转账常用收款人”按钮跳转到查询收款人页面。2.在查询条件中未输入查询条件默认显示您所有的收款人信息。3.选择您想要删除的收款人，点击“删除”按钮跳转到收款人删除页面。
如何单独向行内/跨行转账收款人转账	您好，单独向行内/跨行转账收款人转账首先请您登录网上银行，然后按照以下步骤完成转账：1.点击左侧导航栏的“行内/跨行转账常用收款人”按钮跳转到查询收款人页面。2.在查询条件中未输入查询条件默认显示您所有的收款人信息。3.选择您想要转账的收款人，点击“转账”按钮跳转到收款人类型对应的转账流程中。
如何查看行内/跨行转账收款人交易记录	您好，查看行内/跨行转账收款人交易记录首先请您登录网上银行，然后按照以下步骤完成转账：1.点击左侧导航栏的“行内/跨行转账常用收款人”按钮跳转到查询收款人页面。2.在查询条件中未输入查询条件默认显示您所有的收款人信息。3.选择您想要查看的收款人交易记录，点击“交易记录”按钮系统跳转到查询转账记录页，同时查询出所选择收款人的转账记录，查询时间区间默认为转账记录查询的默认时间。
如何批量向行内/跨行转账收款人转账	您好，批量向行内/跨行转账收款人转账首先请您登录网上银行，1.点击左侧导航栏的“行内/跨行转账常用收款人”按钮跳转到查询收款人页面。2.在查询条件中未输入查询条件默认显示您所有的收款人信息。3.选择您想要转账的收款人信息，点击“批量转账”按钮，进入批量转账录入页。4.所有选择的收款人信息已经默认选中，输入转账金额。
如何批量删除行内/跨行转账收款人	您好，批量删除行内/跨行转账收款人请您先登录网上银行，然后按照以下步骤完成转账：1.点击左侧导航栏的“行内/跨行转账常用收款人”按钮跳转到查询收款人页面。2.在查询条件中未输入查询条件默认显示您所有的收款人信息。3.选择您想要删除的收款人信息，点击“批量删除”按钮跳出是否删除页面，点击确定按钮完成删除。
如何取消行内/跨行转账免签收款人	您好，取消行内/跨行转账免签收款人请您先登录网上银行，然后按照以下步骤完成取消：1.点击左侧导航栏的“行内/跨行转账常用收款人”按钮跳转到查询收款人页面。2.在查询条件中未输入查询条件默认显示您所有的收款人信息。3.选择您想要取消的行内/跨行转账收款人信息，点击“设置”按钮，选择取消免签。4.系统弹出确认框，点击“确定”按钮解除免签。
导出行内/跨行转账收款人列表是导出什么	您好，导出行内/跨行转账收款人列表是对查询结果的所有收款人进行导出，不是对当前页面查询结果导出。
批量转账有什么作用	您好，批量转账的作用是实现了从本行下挂网银的账户同时向多个账户付款的功能，包括本行和他行账户，他行需支持普通，快速，和实时的转账方式，也支持实时提交转账和预约定时转账的功能。
如何进行模板转账	您好，进行模板转账请您登录网上银行，按照以下步骤完成转账：1.点击“批量转账”按钮，选择“模板转账”按钮进入模板转账录入页。2.选择您要转账收款人信息，点击“转账”按钮进入确认页。（如果转账金额大于5万，弹出的需要选择省市的页面。）3.选择验证方式，点击“确认”按钮完成转账。
如何添加模板转账收款人	您好，添加模板转账收款人请您先登录网上银行，按照以下步骤完成添加：1.点击“批量转账”按钮，选择“模板转账”按钮进入模板转账录入页。2.点击“添加收款人”按钮进入添加收款人页面。3.填写收款人信息，点击“保存”按钮完成添加。
如何删除模板转账收款人	您好，删除模板转账收款人请您先登录网上银行，按照以下步骤完成删除：点击“批量转账”按钮，选择“模板转账”按钮进入模板转账录入页。选择您想要删除的模板收款人信息，点击“删除”按钮进行删除。
如何进行文件导入	您好，文件导入请您先登录网上银行，然后按照以下步骤进行导入：1.点击“批量转账”按钮，选择“文件导入”按钮进入文件导入录入页。2.在文件导入页面正确填写收款人信息，点击“下一步”按钮进入确认转账页面。3.在确认转账页面输入验证方式点击“确认提交”完成文件导入。
快捷录入页面转账用途是什么	您好，快捷录入页面转账用途都默认为网银转账，您也可以手工编辑转账用途。
快捷录入页付款账号可以修改吗	您好，快捷录入页的付款账号可以修改，付款账号默认选中您使用频率最高的账号。
快捷录入页使用亲情号付款限额怎么算	您好，快捷录入页使用亲情号直接付款时，累计的限额累加到当前您登录的限额，限额判断也以当前登录您的限额进行判断。
快捷录入页面增加账号可用余额最低是多少	您好，快捷录入页面增加账号可用余额不能低于转账金额和手续费的判断，如果低于则不允许提交。
快捷录入页手工录入转账一次最多支持多少条转账记录	您好，快捷录入页手工录入转账一次最多支持转20条转账记录。
模块转账中已经保存的模板信息显示有什么	您好，模块转账中已经保存的模板信息显示内容有：模板名称，总金额，总笔数，付款用途。
模板转账录入页已保存的模块信息有什么可以修改	您好，模板转账录入页中已保存的模板信息中的名称和付款用途可以修改。
对已上传交易文件中的总金额总笔数有什么要求	您好，对于已上传交易文件中的总金额、总笔数如果与页面输入不一致或者批量中有重复指令校验不通过的，则整批指令将不能提交。
提交文件内容是什么格式的	您好，提交的文件内容的格式是编号、收款人姓名、账号、付款金额、运单号、公司名称、行内行外标志、联行号、收款银行、收款人手机号，各项之间用逗号隔开，缺少某项值可以不写但逗号不能省略。
行内/跨行转账有什么作用	您好，行内/跨行转账集成了行内转账和行外转账，实现了原行内和行外转账的所有功能。其中：行内转账功能实现了从本行下挂网银的账户转出至本行的借记卡，对公活期账户，对私活期账户，国土资源竞拍保证金账户。
如何进行内/跨行转账	您好，行内/跨行转账首先请您登录网上银行，按照以下步骤完成转账：1.点击“行内/跨行转账”菜单进入跳转到一站式转账录入页面。2.在页面中正确填写转账信，点击“下一步”按钮进入确认转账信息页。3.在确认转账信息页正确输入认证方式，点击“确认提交”按钮，自动跳转是否确认以后给此账户转账不再验证短信验证码页面。4.如果您以后对此账户转账不想验证点击“确认”按钮跳转到转账结果页面完成转账。（如果转账金额大于令牌认证方式的转账日累计限额，则仍需验证U-key认证方式。）如果您以后想进行验证短信验证码，点击“确认”按钮跳转结果页面。
行内/跨行转账失败怎么办	您好，如果行内/跨行转账失败提醒您的账号存在异常，请到我行网点办理相关业务。同时，您也可以直接拨打我行服务电话：4006770537进行咨询。
如何使用常用收款人转账	您好，使用常用收款人转账需要先登录网上银行，然后按照以下步骤进行：1.点击“行内/跨行转账”菜单进入跳转到行内/跨行转账首页，点击页面下方的“常用收款人”可以直接转账；2.同时，您也可通过行内/跨行转账右上角的常用联系人链接，进到常用收款人页面，进行转账；3.您在行内/跨行转账进行转账录入时，可以在收款人旁边点击联系人选择，选择相关联系人进行转账。
如何修改限额	您好，修改限额需要您先登录网上银行，然后按照以下步骤修改：1.点击顶部导航的“设置”菜单进入安全中心页面。2.在页面下面中点击相关认证方式的“修改限额”链接弹出限额修改框。3.正确填写日累计限额和动态验证码，点击“确定”按钮修改成功。
行内/跨行转账常用收款人可以显示有多少条	您好，行内/跨行转账常用收款人下拉列表会根据收款账号的使用频率，从高到底进行排序，显示前10条，超过10条页面下会显示查询更多的链接，点击查询更多的链接，会展示更多常用收款人。
如果收款账号是6个9开头的，转账时需要判断限额吗	您好，如果收款账号是6个9开头的，说明它是缴纳保证金国土资源竞拍等业务，则不走判断限额的流程。
如果转账金额小于5万走什么渠道	您好，如果转账金额小于等于5万，则默认走网银互联渠道和小额。如果您选择的银行开通了网银互联，默认走网银互联。如果您要转的收款行未开通网银互联业务，则查出对应的大小收款银行，默认走小额渠道。如果转账走小额渠道，则需要增加省和市的选择。
如果转账金额大于5万走什么渠道	您好，如果转账金额大于5万，则走大额渠道。收款账号开户行需选择总行和省以及对应的城市。
如果转账金额大于5万又不在大额服务时间内会怎么样	您好，如果转账金额大于5万，不在大额服务时间内时，会提示超过跨行大额快速模式服务时间，系统将转预约处理，系统自动选中预约选项，并将预约信息转为下一工作日。
